江西电信,#genre#
CCTV-09,http://k.061899.xyz/m.php?id=cctv9
CCTV-10,http://k.061899.xyz/m.php?id=cctv10
CCTV-11,http://k.061899.xyz/m.php?id=cctv11
CCTV-12,http://k.061899.xyz/m.php?id=cctv12
CCTV-13,http://k.061899.xyz/m.php?id=cctv13
CCTV-14,http://k.061899.xyz/m.php?id=cctv14
CCTV-15,http://k.061899.xyz/m.php?id=cctv15
CCTV-16,http://k.061899.xyz/m.php?id=cctv16
CCTV-17,http://k.061899.xyz/m.php?id=cctv17
广东珠江,http://k.061899.xyz/m.php?id=gdzj
广东体育,http://k.061899.xyz/m.php?id=gdty
五星体育,http://k.061899.xyz/m.php?id=wxty
劲爆体育,http://k.061899.xyz/m.php?id=jbty
魅力体育,http://k.061899.xyz/m.php?id=mlzq
咪咕体育,http://k.061899.xyz/m.php?id=mgty
动作电影,http://k.061899.xyz/m.php?id=dzdy
家庭影院,http://k.061899.xyz/m.php?id=jtyy
影迷电影,http://k.061899.xyz/m.php?id=ymdy
国际美洲,http://k.061899.xyz/m.php?id=cctv4m
国际欧洲,http://k.061899.xyz/m.php?id=cctv4o
北京卫视,http://k.061899.xyz/m.php?id=bjws
东方卫视,http://k.061899.xyz/m.php?id=dfws
浙江卫视,http://k.061899.xyz/m.php?id=zjws
江苏卫视,http://k.061899.xyz/m.php?id=jsws
湖南卫视,http://k.061899.xyz/m.php?id=hunws
广东卫视,http://k.061899.xyz/m.php?id=gdws
深圳卫视,http://k.061899.xyz/m.php?id=szws
天津卫视,http://k.061899.xyz/m.php?id=tjws
安徽卫视,http://k.061899.xyz/m.php?id=ahws
山东卫视,http://k.061899.xyz/m.php?id=sdws
辽宁卫视,http://k.061899.xyz/m.php?id=lnws
河北卫视,http://k.061899.xyz/m.php?id=hbws
河南卫视,http://k.061899.xyz/m.php?id=hnws
江西卫视,http://k.061899.xyz/m.php?id=jxws
四川卫视,http://k.061899.xyz/m.php?id=scws
重庆卫视,http://k.061899.xyz/m.php?id=cqws
贵州卫视,http://k.061899.xyz/m.php?id=gzws
湖北卫视,http://k.061899.xyz/m.php?id=hubws
广西卫视,http://k.061899.xyz/m.php?id=gxws
东南卫视,http://k.061899.xyz/m.php?id=dnws
海南卫视,http://k.061899.xyz/m.php?id=hinws
青海卫视,http://k.061899.xyz/m.php?id=qhws
吉林卫视,http://k.061899.xyz/m.php?id=jlws
兵团卫视,http://k.061899.xyz/m.php?id=btws
西藏卫视,http://k.061899.xyz/m.php?id=xzws
内蒙古视,http://k.061899.xyz/m.php?id=nmgws
黑龙江视,http://k.061899.xyz/m.php?id=hljws


国际,#genre#
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
无线明珠粤高,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠频标,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
BBC,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8





