江西电信,#genre#
华数古装剧场,http://182.110.170.144:4022/rtp/239.252.220.77:5140
华数武侠剧场,http://182.110.170.144:4022/rtp/239.252.220.88:5140
华数喜剧影院,http://182.110.170.144:4022/rtp/239.252.220.79:5140
华数动作影院,http://182.110.170.144:4022/rtp/239.252.220.85:5140
华数碟战剧场,http://182.110.170.144:4022/rtp/239.252.220.145:5140
华数星影,http://182.110.170.144:4022/rtp/239.252.220.210:5140
华数精选,http://182.110.170.144:4022/rtp/239.252.219.161:5140
家庭影院,http://182.110.170.144:4022/rtp/239.252.220.86:5140
IPTV6华数电影,http://182.110.170.144:4022/rtp/239.252.220.142:5140

湖南电信,#genre#
武术世界,http://175.8.182.214:7878/udp/239.76.252.181:9000
武术世界,http://175.8.182.214:7878/udp/239.76.245.181:1234
武术世界,http://175.15.59.222:4022/udp/239.76.252.181:9000
武术世界,http://175.15.59.222:4022/udp/239.76.245.181:9000

湖南卫视,http://175.8.182.214:7878/udp/239.76.253.101:9000
湖南卫视,http://175.8.182.214:7878/udp/239.76.251.85:9000
湖南卫视,http://175.8.182.214:7878/udp/239.76.253.100:9000
湖南经视频道,http://175.8.182.214:7878/udp/239.76.253.103:9000
湖南经视频道,http://175.8.182.214:7878/udp/239.76.251.86:9000
湖南都市频道,http://175.8.182.214:7878/udp/239.76.253.104:9000
湖南国际频道,http://175.8.182.214:7878/udp/239.76.253.102:9000
湖南国际频道,http://175.8.182.214:7878/udp/239.76.252.240:9000
湖南公共频道,http://175.8.182.214:7878/udp/239.76.253.109:9000
湖南娱乐频道,http://175.8.182.214:7878/udp/239.76.253.105:9000
湖南电影频道,http://175.8.182.214:7878/udp/239.76.253.106:9000
湖南电视剧频道,http://175.8.182.214:7878/udp/239.76.253.108:9000
CCTV-1综合,http://175.8.182.214:7878/udp/239.76.253.151:9000
CCTV-1综合,http://175.8.182.214:7878/udp/239.76.251.87:9000
CCTV-2财经,http://175.8.182.214:7878/udp/239.76.253.152:9000
CCTV-3综艺,http://175.8.182.214:7878/udp/239.76.253.153:9000
CCTV-4中文国际,http://175.8.182.214:7878/udp/239.76.253.154:9000
CCTV-5体育,http://175.8.182.214:7878/udp/239.76.253.155:9000
CCTV-5体育,http://175.8.182.214:7878/udp/239.76.254.214:9000
CCTV-5+体育赛事,http://175.8.182.214:7878/udp/239.76.253.168:9000
CCTV-5+体育赛事,http://175.8.182.214:7878/udp/239.76.251.88:9000
CCTV-5+体育赛事,http://175.8.182.214:7878/udp/239.76.254.215:9000
CCTV-6电影,http://175.8.182.214:7878/udp/239.76.253.156:9000
CCTV-7国防军事,http://175.8.182.214:7878/udp/239.76.253.157:9000
CCTV-8电视剧,http://175.8.182.214:7878/udp/239.76.253.158:9000
CCTV-9纪录,http://175.8.182.214:7878/udp/239.76.253.159:9000
CCTV-10科教,http://175.8.182.214:7878/udp/239.76.253.160:9000
CCTV-11戏曲,http://175.8.182.214:7878/udp/239.76.252.251:9000
CCTV-12社会与法,http://175.8.182.214:7878/udp/239.76.253.162:9000
CCTV-13新闻,http://175.8.182.214:7878/udp/239.76.253.93:9000
CCTV-13新闻,http://175.8.182.214:7878/udp/239.76.251.84:9000
CCTV-14少儿,http://175.8.182.214:7878/udp/239.76.253.164:9000
CCTV-15音乐,http://175.8.182.214:7878/udp/239.76.252.252:9000
CCTV-16奥林匹克,http://175.8.182.214:7878/udp/239.76.253.98:9000
CCTV-17农业农村,http://175.8.182.214:7878/udp/239.76.252.238:9000
CCTV-16奥林匹克4K,http://175.8.182.214:7878/udp/239.76.253.230:9000
CCTV-16奥林匹克4K,http://175.8.182.214:7878/udp/239.76.254.200:9000
CCTV-4K超高清,http://175.8.182.214:7878/udp/239.76.254.101:9000
CCTV-4K超高清,http://175.8.182.214:7878/udp/239.76.254.64:9000
CHC家庭影院,http://175.8.182.214:7878/udp/239.76.252.241:9000
CHC影迷电影,http://175.8.182.214:7878/udp/239.76.252.242:9000
CHC动作电影,http://175.8.182.214:7878/udp/239.76.252.243:9000
CCTV-第一剧场,http://175.8.182.214:7878/udp/239.76.254.49:9000
